Frequency (Hz)	Level (dB)
43.066406	-8.026270
86.132812	3.687427
129.199219	7.604480
172.265625	-0.382188
215.332031	-8.101034
258.398438	-6.667046
301.464844	-11.455904
344.531250	-4.912060
387.597656	-4.998399
430.664062	-13.085951
473.730469	-10.126790
516.796875	-11.214780
559.863281	-14.493918
602.929688	-10.439815
645.996094	-13.147447
689.062500	-15.591749
732.128906	-12.958804
775.195312	-16.081043
818.261719	-16.809586
861.328125	-14.908817
904.394531	-18.163591
947.460938	-17.123201
990.527344	-16.562922
1033.593750	-19.752712
1076.660156	-18.852556
1119.726562	-18.867868
1162.792969	-21.188019
1205.859375	-19.446735
1248.925781	-20.371981
1291.992188	-22.124369
1335.058594	-20.869761
1378.125000	-22.092249
1421.191406	-23.000349
1464.257812	-22.006035
1507.324219	-23.454580
1550.390625	-23.851316
1593.457031	-23.346851
1636.523438	-24.675840
1679.589844	-24.595570
1722.656250	-24.204939
1765.722656	-25.589485
1808.789062	-25.651234
1851.855469	-25.945124
1894.921875	-26.751274
1937.988281	-26.112741
1981.054688	-26.672958
2024.121094	-27.916018
2067.187500	-27.516075
2110.253906	-27.706570
2153.320312	-28.330254
2196.386719	-28.419157
2239.453125	-29.214998
2282.519531	-29.649162
2325.585938	-29.225872
2368.652344	-29.763372
2411.718750	-29.944077
2454.785156	-30.364210
2497.851562	-31.045362
2540.917969	-31.197775
2583.984375	-31.415016
2627.050781	-31.803705
2670.117188	-32.066631
2713.183594	-32.281994
2756.250000	-32.743885
2799.316406	-32.906078
2842.382812	-32.932384
2885.449219	-33.122223
2928.515625	-33.527245
2971.582031	-33.932922
3014.648438	-34.155060
3057.714844	-34.406094
3100.781250	-34.291904
3143.847656	-34.628517
3186.914062	-35.340145
3229.980469	-35.408600
3273.046875	-35.372639
3316.113281	-35.289650
3359.179688	-35.604462
3402.246094	-36.297737
3445.312500	-36.771141
3488.378906	-36.209934
3531.445312	-36.371849
3574.511719	-36.541664
3617.578125	-36.580097
3660.644531	-37.444538
3703.710938	-37.710835
3746.777344	-37.626102
3789.843750	-37.229465
3832.910156	-37.187843
3875.976562	-37.865566
3919.042969	-38.666981
3962.109375	-38.049580
4005.175781	-38.235870
4048.242188	-38.389954
4091.308594	-39.059959
4134.375000	-39.682583
4177.441406	-38.948006
4220.507812	-38.848331
4263.574219	-38.779140
4306.640625	-39.641769
4349.707031	-40.109280
4392.773438	-40.123970
4435.839844	-40.656528
4478.906250	-40.498718
4521.972656	-39.955311
4565.039062	-39.939835
4608.105469	-40.686790
4651.171875	-41.239380
4694.238281	-40.482090
4737.304688	-40.101189
4780.371094	-40.369984
4823.437500	-39.768536
4866.503906	-39.791489
4909.570312	-40.173019
4952.636719	-40.423855
4995.703125	-40.027473
5038.769531	-40.425846
5081.835938	-40.919460
5124.902344	-40.167206
5167.968750	-40.865223
5211.035156	-41.773911
5254.101562	-40.295265
5297.167969	-39.787575
5340.234375	-40.857365
5383.300781	-40.293671
5426.367188	-41.095123
5469.433594	-40.570183
5512.500000	-41.338020
5555.566406	-42.079437
5598.632812	-40.736496
5641.699219	-39.169628
5684.765625	-39.352837
5727.832031	-41.151424
5770.898438	-40.652653
5813.964844	-41.375351
5857.031250	-43.590584
5900.097656	-41.695835
5943.164062	-41.002346
5986.230469	-41.169189
6029.296875	-40.305832
6072.363281	-41.217232
6115.429688	-42.603958
6158.496094	-41.259727
6201.562500	-40.330193
6244.628906	-40.293217
6287.695312	-38.992344
6330.761719	-39.926819
6373.828125	-41.187702
6416.894531	-42.069248
6459.960938	-42.235859
6503.027344	-42.219692
6546.093750	-42.159847
6589.160156	-41.409355
6632.226562	-41.919914
6675.292969	-43.233448
6718.359375	-42.070362
6761.425781	-42.301140
6804.492188	-41.286327
6847.558594	-41.246151
6890.625000	-42.057709
6933.691406	-41.448837
6976.757812	-41.385639
7019.824219	-42.047256
7062.890625	-41.603134
7105.957031	-42.011986
7149.023438	-42.333462
7192.089844	-40.759682
7235.156250	-39.807468
7278.222656	-42.467403
7321.289062	-42.330479
7364.355469	-41.448860
7407.421875	-42.295422
7450.488281	-41.785419
7493.554688	-39.839115
7536.621094	-39.536705
7579.687500	-39.079472
7622.753906	-38.101994
7665.820312	-40.194828
7708.886719	-41.952156
7751.953125	-41.320545
7795.019531	-39.764587
7838.085938	-39.938740
7881.152344	-41.942188
7924.218750	-42.450157
7967.285156	-42.261612
8010.351562	-41.649185
8053.417969	-42.123142
8096.484375	-41.393272
8139.550781	-42.074177
8182.617188	-42.031246
8225.683594	-42.013844
8268.750000	-42.041691
8311.816406	-42.063763
8354.882812	-41.371040
8397.949219	-42.365612
8441.015625	-42.000046
8484.082031	-41.288387
8527.148438	-41.117638
8570.214844	-42.090401
8613.281250	-40.440826
8656.347656	-41.458740
8699.414062	-39.281395
8742.480469	-39.879032
8785.546875	-40.665745
8828.613281	-42.567280
8871.679688	-43.735123
8914.746094	-43.060352
8957.812500	-42.064766
9000.878906	-41.080975
9043.945312	-39.302113
9087.011719	-40.763165
9130.078125	-39.238968
9173.144531	-39.963047
9216.210938	-38.976379
9259.277344	-39.104000
9302.343750	-41.467487
9345.410156	-42.898582
9388.476562	-43.621521
9431.542969	-42.876400
9474.609375	-43.528950
9517.675781	-44.673851
9560.742188	-42.007423
9603.808594	-41.169147
9646.875000	-41.665752
9689.941406	-43.297192
9733.007812	-43.777817
9776.074219	-41.267372
9819.140625	-41.216774
9862.207031	-43.803364
9905.273438	-44.047245
9948.339844	-42.240337
9991.406250	-42.493275
10034.472656	-44.321472
10077.539062	-42.338184
10120.605469	-42.180756
10163.671875	-43.087433
10206.738281	-42.622787
10249.804688	-41.633591
10292.871094	-42.444756
10335.937500	-41.871986
10379.003906	-44.844444
10422.070312	-41.787292
10465.136719	-41.202312
10508.203125	-41.076214
10551.269531	-43.174442
10594.335938	-44.139805
10637.402344	-44.803478
10680.468750	-43.466347
10723.535156	-42.891602
10766.601562	-42.070889
10809.667969	-42.967400
10852.734375	-44.839897
10895.800781	-43.679630
10938.867188	-40.989742
10981.933594	-42.260193
11025.000000	-43.953186
11068.066406	-42.161709
11111.132812	-43.851166
11154.199219	-45.285202
11197.265625	-44.557976
11240.332031	-43.829014
11283.398438	-43.784859
11326.464844	-42.866611
11369.531250	-43.546581
11412.597656	-43.748447
11455.664062	-42.915073
11498.730469	-43.246948
11541.796875	-44.261406
11584.863281	-43.227089
11627.929688	-43.104069
11670.996094	-44.184208
11714.062500	-45.265438
11757.128906	-44.629913
11800.195312	-43.870472
11843.261719	-44.261333
11886.328125	-43.208138
11929.394531	-43.922359
11972.460938	-43.594666
12015.527344	-42.175945
12058.593750	-42.890881
12101.660156	-42.459724
12144.726562	-43.292709
12187.792969	-44.341290
12230.859375	-42.933071
12273.925781	-42.111450
12316.992188	-41.498627
12360.058594	-43.169563
12403.125000	-43.536118
12446.191406	-43.823807
12489.257812	-44.482254
12532.324219	-44.547794
12575.390625	-42.806767
12618.457031	-44.088085
12661.523438	-43.040707
12704.589844	-44.736809
12747.656250	-43.578419
12790.722656	-43.402790
12833.789062	-43.408321
12876.855469	-43.705341
12919.921875	-44.488621
12962.988281	-43.784977
13006.054688	-40.792515
13049.121094	-41.986671
13092.187500	-43.069695
13135.253906	-44.792358
13178.320312	-43.217747
13221.386719	-43.640781
13264.453125	-45.333466
13307.519531	-45.245098
13350.585938	-44.817318
13393.652344	-44.731308
13436.718750	-45.728691
13479.785156	-45.845612
13522.851562	-45.236553
13565.917969	-44.241806
13608.984375	-42.203693
13652.050781	-42.985424
13695.117188	-44.573341
13738.183594	-44.967606
13781.250000	-44.108646
13824.316406	-44.324333
13867.382812	-44.716694
13910.449219	-44.645470
13953.515625	-44.773327
