Frequency (Hz)	Level (dB)
43.066406	-9.516590
86.132812	5.837941
129.199219	7.241338
172.265625	-4.131516
215.332031	-12.504928
258.398438	-14.140662
301.464844	-6.168108
344.531250	-2.166506
387.597656	-9.334644
430.664062	-14.327547
473.730469	-14.253787
516.796875	-13.099467
559.863281	-7.541927
602.929688	-11.532022
645.996094	-16.220655
689.062500	-15.116265
732.128906	-16.778082
775.195312	-12.096307
818.261719	-13.630845
861.328125	-17.874437
904.394531	-16.604872
947.460938	-18.298365
990.527344	-16.095442
1033.593750	-15.928568
1076.660156	-19.280268
1119.726562	-18.371740
1162.792969	-19.362974
1205.859375	-19.296606
1248.925781	-18.337460
1291.992188	-20.682428
1335.058594	-20.202347
1378.125000	-20.552023
1421.191406	-21.608379
1464.257812	-20.659950
1507.324219	-22.141397
1550.390625	-22.052914
1593.457031	-21.994699
1636.523438	-23.238483
1679.589844	-22.836185
1722.656250	-23.532425
1765.722656	-23.847910
1808.789062	-23.607389
1851.855469	-24.602327
1894.921875	-24.888945
1937.988281	-24.923140
1981.054688	-25.452421
2024.121094	-25.253563
2067.187500	-25.895359
2110.253906	-26.690962
2153.320312	-26.520372
2196.386719	-26.887062
2239.453125	-26.904360
2282.519531	-27.183886
2325.585938	-28.154716
2368.652344	-28.211227
2411.718750	-28.327414
2454.785156	-28.539038
2497.851562	-28.557039
2540.917969	-29.424700
2583.984375	-29.782509
2627.050781	-29.806875
2670.117188	-30.038204
2713.183594	-30.082520
2756.250000	-30.629532
2799.316406	-31.243793
2842.382812	-31.265760
2885.449219	-31.498495
2928.515625	-31.640148
2971.582031	-31.860706
3014.648438	-32.644192
3057.714844	-32.662853
3100.781250	-32.847561
3143.847656	-33.172478
3186.914062	-33.321438
3229.980469	-34.058006
3273.046875	-34.034225
3316.113281	-34.001266
3359.179688	-34.482327
3402.246094	-34.678734
3445.312500	-35.366207
3488.378906	-35.436447
3531.445312	-35.233139
3574.511719	-35.713573
3617.578125	-36.042210
3660.644531	-36.642963
3703.710938	-36.724369
3746.777344	-36.406960
3789.843750	-36.825485
3832.910156	-37.388851
