Frequency (Hz)	Level (dB)
43.066406	-11.420874
86.132812	2.277227
129.199219	7.925049
172.265625	1.683240
215.332031	-12.462420
258.398438	-8.715702
301.464844	-13.111540
344.531250	-7.579314
387.597656	-2.763695
430.664062	-9.046569
473.730469	-13.653300
516.796875	-10.372837
559.863281	-14.795738
602.929688	-12.680215
645.996094	-9.021131
689.062500	-14.536636
732.128906	-15.538547
775.195312	-12.854630
818.261719	-16.909466
861.328125	-16.116920
904.394531	-13.634730
947.460938	-17.678421
990.527344	-17.653664
1033.593750	-15.828319
1076.660156	-19.248774
1119.726562	-18.793898
1162.792969	-17.047205
1205.859375	-19.739986
1248.925781	-19.677111
1291.992188	-18.765120
1335.058594	-21.258598
1378.125000	-21.088873
1421.191406	-19.901064
1464.257812	-21.595308
1507.324219	-21.853649
1550.390625	-21.502613
1593.457031	-23.157656
1636.523438	-23.160452
1679.589844	-22.531572
1722.656250	-23.704021
1765.722656	-24.053957
1808.789062	-23.910276
1851.855469	-24.746136
1894.921875	-24.734451
1937.988281	-24.786613
1981.054688	-25.845383
2024.121094	-26.468208
2067.187500	-26.076597
2110.253906	-26.299213
2153.320312	-26.569872
2196.386719	-26.888586
2239.453125	-27.739637
2282.519531	-28.411741
2325.585938	-27.909348
2368.652344	-28.064701
2411.718750	-28.619108
2454.785156	-29.111128
2497.851562	-29.746197
2540.917969	-30.281994
2583.984375	-29.878920
2627.050781	-30.419140
2670.117188	-31.069853
2713.183594	-31.129576
2756.250000	-31.471582
2799.316406	-31.909033
2842.382812	-31.775360
2885.449219	-32.575150
2928.515625	-32.892506
2971.582031	-32.458946
3014.648438	-32.901497
3057.714844	-33.239456
3100.781250	-33.627064
3143.847656	-34.679810
3186.914062	-34.550728
3229.980469	-34.175056
3273.046875	-34.184593
3316.113281	-34.515747
3359.179688	-35.588512
3402.246094	-36.748676
3445.312500	-36.435085
3488.378906	-36.341740
3531.445312	-35.728725
3574.511719	-36.162491
3617.578125	-36.788628
3660.644531	-37.766903
3703.710938	-37.753201
3746.777344	-37.482693
3789.843750	-37.542061
3832.910156	-38.286175
3875.976562	-38.943085
3919.042969	-39.665955
3962.109375	-39.295044
4005.175781	-38.566219
4048.242188	-38.397263
4091.308594	-38.591404
4134.375000	-39.553799
4177.441406	-39.448177
4220.507812	-39.137062
4263.574219	-39.034389
4306.640625	-39.120895
4349.707031	-39.994785
4392.773438	-41.150448
4435.839844	-40.720127
4478.906250	-40.742699
4521.972656	-40.118435
4565.039062	-38.960041
4608.105469	-40.696175
4651.171875	-42.076138
4694.238281	-40.720802
4737.304688	-40.001278
4780.371094	-39.416046
4823.437500	-39.544613
4866.503906	-40.923409
4909.570312	-42.217899
4952.636719	-41.394032
4995.703125	-39.959415
5038.769531	-39.558105
5081.835938	-39.906818
5124.902344	-40.929607
5167.968750	-41.149883
5211.035156	-39.898106
5254.101562	-39.709496
5297.167969	-41.307640
5340.234375	-40.226265
5383.300781	-40.715263
5426.367188	-42.134026
5469.433594	-41.719566
5512.500000	-40.391251
5555.566406	-41.152821
5598.632812	-40.297661
5641.699219	-40.205776
5684.765625	-41.131748
5727.832031	-41.088394
5770.898438	-41.799599
5813.964844	-42.111397
5857.031250	-41.686565
5900.097656	-41.280285
5943.164062	-41.959751
5986.230469	-41.445732
6029.296875	-41.906601
6072.363281	-41.516148
6115.429688	-41.092701
6158.496094	-41.126316
6201.562500	-41.212757
6244.628906	-40.865017
6287.695312	-41.399757
6330.761719	-41.696053
6373.828125	-40.376186
6416.894531	-39.492058
6459.960938	-39.654037
6503.027344	-40.335281
6546.093750	-41.849777
6589.160156	-42.247406
6632.226562	-41.872292
6675.292969	-41.231808
6718.359375	-40.844982
6761.425781	-41.114796
6804.492188	-41.027092
6847.558594	-40.505081
6890.625000	-40.156410
6933.691406	-40.598270
6976.757812	-40.779766
7019.824219	-42.187416
7062.890625	-42.429722
7105.957031	-40.465538
7149.023438	-40.820969
7192.089844	-39.259174
7235.156250	-38.499058
7278.222656	-38.760036
7321.289062	-39.192657
7364.355469	-37.723465
7407.421875	-37.831413
7450.488281	-38.659771
7493.554688	-40.140110
7536.621094	-40.104271
7579.687500	-39.089203
7622.753906	-37.459118
7665.820312	-36.467773
7708.886719	-35.613331
7751.953125	-35.664062
7795.019531	-37.200287
7838.085938	-39.858574
7881.152344	-40.788136
7924.218750	-40.854729
7967.285156	-40.696014
8010.351562	-40.790993
8053.417969	-40.244129
8096.484375	-39.159733
8139.550781	-39.579914
8182.617188	-40.331200
8225.683594	-40.987442
8268.750000	-40.769367
8311.816406	-41.157360
8354.882812	-41.430077
8397.949219	-40.727715
8441.015625	-41.147186
8484.082031	-40.446838
8527.148438	-40.787796
8570.214844	-40.948948
8613.281250	-40.932320
8656.347656	-41.582119
8699.414062	-41.291306
8742.480469	-41.674915
8785.546875	-42.293934
8828.613281	-42.770157
8871.679688	-42.573139
8914.746094	-42.040062
8957.812500	-41.295326
9000.878906	-41.383484
9043.945312	-42.898998
9087.011719	-43.094242
9130.078125	-42.209274
9173.144531	-42.182888
9216.210938	-42.185410
9259.277344	-41.292160
9302.343750	-40.591351
9345.410156	-41.007736
9388.476562	-41.827747
9431.542969	-42.623032
9474.609375	-43.442051
9517.675781	-42.997597
9560.742188	-43.687626
9603.808594	-43.339985
9646.875000	-43.055241
9689.941406	-42.859425
9733.007812	-43.634285
9776.074219	-42.440487
