Frequency (Hz)	Level (dB)
43.066406	-9.134772
86.132812	3.535519
129.199219	7.755809
172.265625	0.050764
215.332031	-9.240648
258.398438	-7.863606
301.464844	-11.099154
344.531250	-5.220400
387.597656	-4.237798
430.664062	-12.258830
473.730469	-10.941572
516.796875	-11.119257
559.863281	-13.764568
602.929688	-10.590507
645.996094	-11.834133
689.062500	-15.680825
732.128906	-14.045112
775.195312	-14.934635
818.261719	-16.154701
861.328125	-15.033793
904.394531	-16.847589
947.460938	-18.152031
990.527344	-17.492739
1033.593750	-18.143850
1076.660156	-18.799759
1119.726562	-18.758062
1162.792969	-20.114653
1205.859375	-20.795692
1248.925781	-20.764275
1291.992188	-20.968832
1335.058594	-21.770632
1378.125000	-21.880260
1421.191406	-22.671824
1464.257812	-23.357100
1507.324219	-23.475466
1550.390625	-23.808863
1593.457031	-24.681433
1636.523438	-24.527748
1679.589844	-24.949875
1722.656250	-25.717848
1765.722656	-25.862564
1808.789062	-26.522100
1851.855469	-27.032692
1894.921875	-26.798061
1937.988281	-27.138828
1981.054688	-28.048927
2024.121094	-28.346109
2067.187500	-28.876083
2110.253906	-29.076727
2153.320312	-28.959421
2196.386719	-29.262142
2239.453125	-30.444651
2282.519531	-30.680531
2325.585938	-31.183983
2368.652344	-31.533623
2411.718750	-31.756285
2454.785156	-32.160301
2497.851562	-33.217037
2540.917969	-33.003334
2583.984375	-33.326092
2627.050781	-34.116692
2670.117188	-34.648102
2713.183594	-34.899597
2756.250000	-35.580948
2799.316406	-34.902798
2842.382812	-35.209045
2885.449219	-36.221443
2928.515625	-36.254311
2971.582031	-36.723614
3014.648438	-37.932491
3057.714844	-37.170536
3100.781250	-37.282276
3143.847656	-37.896351
3186.914062	-37.530693
3229.980469	-38.834755
3273.046875	-39.874378
3316.113281	-39.156570
3359.179688	-39.261879
3402.246094	-38.989922
3445.312500	-38.924591
3488.378906	-40.109241
3531.445312	-40.373882
3574.511719	-40.272060
3617.578125	-40.359505
3660.644531	-40.256577
3703.710938	-40.358902
3746.777344	-41.147091
3789.843750	-41.094048
3832.910156	-41.295052
3875.976562	-40.802834
3919.042969	-40.664230
3962.109375	-41.170078
4005.175781	-41.672935
4048.242188	-41.920029
4091.308594	-42.014740
4134.375000	-41.665947
4177.441406	-41.841290
4220.507812	-42.000767
4263.574219	-42.529068
4306.640625	-42.469070
4349.707031	-42.798626
4392.773438	-42.936470
4435.839844	-43.143837
4478.906250	-42.781364
4521.972656	-42.769882
4565.039062	-42.813766
4608.105469	-43.105221
4651.171875	-42.938599
4694.238281	-43.195793
4737.304688	-42.842751
4780.371094	-43.065647
4823.437500	-43.266140
4866.503906	-42.585186
4909.570312	-42.282764
4952.636719	-42.558231
4995.703125	-42.575985
5038.769531	-42.660786
5081.835938	-41.253197
5124.902344	-41.418613
5167.968750	-41.178284
5211.035156	-41.824696
5254.101562	-41.874630
5297.167969	-41.709484
5340.234375	-41.915798
5383.300781	-42.308750
5426.367188	-42.510731
5469.433594	-43.239079
5512.500000	-42.579018
5555.566406	-43.419567
5598.632812	-44.157360
5641.699219	-43.525631
5684.765625	-43.358738
5727.832031	-43.194256
5770.898438	-44.421078
5813.964844	-43.987228
5857.031250	-43.985432
5900.097656	-43.244530
5943.164062	-42.896400
5986.230469	-44.099613
6029.296875	-44.200775
6072.363281	-43.341454
6115.429688	-42.570160
6158.496094	-43.417210
6201.562500	-43.177151
6244.628906	-43.342728
6287.695312	-43.767845
6330.761719	-43.037167
6373.828125	-43.021637
6416.894531	-44.151157
6459.960938	-42.907982
6503.027344	-42.762413
6546.093750	-43.574795
6589.160156	-44.199268
6632.226562	-44.943733
6675.292969	-44.383057
6718.359375	-43.307968
6761.425781	-42.993248
6804.492188	-43.488911
6847.558594	-44.746418
6890.625000	-44.521290
6933.691406	-42.942661
6976.757812	-42.134109
7019.824219	-41.979725
7062.890625	-42.938938
7105.957031	-44.062477
7149.023438	-44.546692
7192.089844	-43.532833
7235.156250	-42.624519
7278.222656	-43.185452
7321.289062	-41.939598
7364.355469	-42.585339
7407.421875	-42.785599
7450.488281	-42.633923
7493.554688	-42.910458
7536.621094	-41.954376
7579.687500	-40.917587
7622.753906	-40.532074
7665.820312	-41.128689
7708.886719	-41.165462
7751.953125	-41.371552
7795.019531	-41.524010
7838.085938	-41.280483
7881.152344	-40.981598
7924.218750	-42.448696
7967.285156	-41.598217
8010.351562	-42.436569
8053.417969	-43.067928
8096.484375	-42.863110
8139.550781	-43.144833
8182.617188	-43.924183
8225.683594	-43.369564
8268.750000	-43.271385
8311.816406	-43.778782
8354.882812	-42.863834
8397.949219	-42.588345
8441.015625	-43.266312
8484.082031	-43.005440
8527.148438	-43.417313
8570.214844	-43.460052
8613.281250	-42.990353
8656.347656	-42.102894
8699.414062	-42.202805
8742.480469	-41.854637
8785.546875	-42.351040
8828.613281	-42.706940
8871.679688	-42.194969
8914.746094	-42.204746
8957.812500	-41.804749
9000.878906	-42.163971
9043.945312	-42.494072
9087.011719	-42.531952
9130.078125	-42.376041
9173.144531	-42.040569
9216.210938	-43.204750
9259.277344	-43.250618
9302.343750	-43.062305
9345.410156	-42.576778
9388.476562	-41.971954
9431.542969	-42.570816
9474.609375	-43.497154
9517.675781	-42.988373
9560.742188	-43.007366
9603.808594	-42.990261
9646.875000	-42.954556
9689.941406	-43.449322
9733.007812	-44.124931
9776.074219	-43.376965
9819.140625	-43.484756
9862.207031	-43.607937
9905.273438	-42.601654
9948.339844	-43.836117
9991.406250	-43.806477
10034.472656	-43.876957
10077.539062	-44.097813
10120.605469	-43.640877
10163.671875	-43.973602
10206.738281	-43.521851
10249.804688	-44.017891
10292.871094	-44.273403
10335.937500	-44.043140
10379.003906	-44.503231
10422.070312	-44.534260
10465.136719	-44.739433
10508.203125	-44.702354
10551.269531	-44.289085
10594.335938	-44.284370
10637.402344	-45.112141
10680.468750	-44.975693
10723.535156	-45.216022
10766.601562	-44.948681
10809.667969	-44.457096
10852.734375	-44.762661
10895.800781	-45.100491
10938.867188	-45.059414
10981.933594	-45.248741
11025.000000	-45.108395
11068.066406	-44.074539
11111.132812	-44.333382
11154.199219	-44.060165
11197.265625	-44.590351
11240.332031	-44.684258
11283.398438	-44.509903
11326.464844	-44.274090
11369.531250	-44.443714
11412.597656	-44.771576
11455.664062	-43.685276
11498.730469	-44.829048
11541.796875	-42.492393
11584.863281	-43.908901
11627.929688	-44.301804
11670.996094	-43.703838
11714.062500	-44.534859
11757.128906	-43.105339
11800.195312	-43.437038
11843.261719	-43.606285
11886.328125	-44.069752
11929.394531	-43.954353
11972.460938	-43.711708
12015.527344	-43.763519
12058.593750	-44.155281
12101.660156	-44.368542
12144.726562	-44.148289
12187.792969	-44.313755
12230.859375	-44.117638
12273.925781	-44.645100
12316.992188	-45.307838
12360.058594	-45.209782
12403.125000	-44.673138
12446.191406	-44.564056
12489.257812	-44.641354
12532.324219	-45.797588
12575.390625	-45.706841
12618.457031	-45.095470
12661.523438	-44.563282
12704.589844	-43.895824
12747.656250	-45.034142
12790.722656	-44.791172
12833.789062	-44.776917
12876.855469	-44.997974
12919.921875	-43.909119
12962.988281	-44.644905
13006.054688	-43.870155
13049.121094	-44.614254
13092.187500	-44.615387
13135.253906	-43.930882
13178.320312	-44.120144
13221.386719	-42.951492
13264.453125	-43.926121
13307.519531	-44.631622
13350.585938	-44.172676
13393.652344	-44.761681
13436.718750	-43.902313
13479.785156	-43.852821
13522.851562	-44.894161
13565.917969	-44.814663
13608.984375	-44.998646
13652.050781	-44.959049
13695.117188	-44.566006
13738.183594	-44.380417
13781.250000	-45.303532
13824.316406	-44.892780
13867.382812	-44.627239
13910.449219	-44.461136
13953.515625	-44.083935
13996.582031	-43.909946
14039.648438	-44.394688
14082.714844	-44.591366
14125.781250	-44.591618
14168.847656	-44.163189
14211.914062	-43.916161
14254.980469	-44.193214
14298.046875	-44.706627
14341.113281	-44.820808
14384.179688	-44.579811
14427.246094	-45.004444
14470.312500	-45.392677
14513.378906	-45.532036
14556.445312	-46.064293
14599.511719	-45.031868
14642.578125	-45.781033
14685.644531	-45.380058
14728.710938	-44.713924
14771.777344	-45.173550
14814.843750	-45.143536
14857.910156	-45.191383
14900.976562	-46.636211
14944.042969	-44.962063
14987.109375	-45.657307
15030.175781	-45.357620
15073.242188	-44.843212
15116.308594	-46.271477
15159.375000	-45.873596
15202.441406	-45.722961
15245.507812	-46.072006
15288.574219	-45.415600
15331.640625	-46.136154
15374.707031	-46.707874
15417.773438	-46.121513
15460.839844	-46.108479
15503.906250	-46.122814
15546.972656	-45.448387
15590.039062	-46.677082
15633.105469	-46.062065
15676.171875	-46.667274
15719.238281	-46.346081
15762.304688	-45.999050
15805.371094	-46.823681
15848.437500	-46.659145
15891.503906	-46.999901
15934.570312	-46.786373
15977.636719	-46.143421
16020.703125	-46.642120
16063.769531	-46.235806
16106.835938	-46.323727
16149.902344	-46.900612
16192.968750	-46.702785
16236.035156	-47.151051
16279.101562	-47.359627
16322.167969	-46.644978
16365.234375	-46.611660
16408.300781	-47.132278
16451.367188	-47.065731
16494.433594	-47.402859
16537.500000	-46.991589
16580.566406	-46.563122
16623.632812	-46.928158
16666.699219	-47.932701
16709.765625	-47.466221
16752.832031	-47.487137
16795.898438	-47.685520
16838.964844	-47.819862
16882.031250	-48.056828
16925.097656	-48.230732
16968.164062	-47.958637
17011.230469	-48.479088
17054.296875	-49.603607
17097.363281	-49.357643
17140.429688	-49.175732
17183.496094	-49.222572
17226.562500	-49.059830
17269.628906	-49.297550
17312.695312	-50.040321
17355.761719	-49.754074
17398.828125	-49.825165
17441.894531	-49.446976
17484.960938	-48.927616
17528.027344	-49.211052
17571.093750	-50.002602
17614.160156	-50.301285
17657.226562	-50.592205
17700.292969	-50.038231
17743.359375	-49.977592
17786.425781	-50.130230
17829.492188	-50.490730
17872.558594	-50.656071
17915.625000	-51.302982
17958.691406	-51.107128
18001.757812	-51.566425
18044.824219	-51.853596
18087.890625	-51.903419
18130.957031	-52.240784
18174.023438	-51.928459
18217.089844	-51.649933
18260.156250	-51.581776
18303.222656	-51.999763
18346.289062	-52.279667
18389.355469	-52.558849
18432.421875	-52.571068
18475.488281	-52.378731
18518.554688	-52.411285
18561.621094	-52.768074
18604.687500	-53.361900
18647.753906	-53.410236
18690.820312	-54.009354
18733.886719	-54.251221
18776.953125	-53.550957
18820.019531	-53.908073
18863.085938	-53.682213
18906.152344	-53.493046
18949.218750	-54.396667
18992.285156	-53.145020
19035.351562	-52.805187
19078.417969	-53.599495
19121.484375	-52.768879
19164.550781	-53.761177
19207.617188	-54.007202
19250.683594	-53.326416
19293.750000	-55.224781
19336.816406	-54.819969
19379.882812	-54.849411
19422.949219	-55.417362
19466.015625	-55.226040
19509.082031	-55.885353
19552.148438	-56.411800
19595.214844	-55.462784
19638.281250	-56.458664
19681.347656	-57.276749
19724.414062	-57.026649
19767.480469	-58.292339
19810.546875	-57.017143
19853.613281	-56.647606
19896.679688	-57.128246
19939.746094	-56.526302
19982.812500	-57.464211
20025.878906	-58.141796
20068.945312	-58.581532
20112.011719	-59.050686
20155.078125	-58.305077
20198.144531	-57.545906
20241.210938	-57.321114
20284.277344	-56.996323
20327.343750	-57.466873
20370.410156	-58.619347
20413.476562	-59.641148
20456.542969	-59.833138
20499.609375	-59.933437
20542.675781	-59.999428
20585.742188	-59.442001
20628.808594	-60.233837
20671.875000	-57.997223
20714.941406	-58.977547
20758.007812	-59.705837
20801.074219	-59.410660
20844.140625	-60.843483
20887.207031	-60.295929
20930.273438	-60.755215
20973.339844	-61.935963
21016.406250	-61.545330
21059.472656	-60.214531
21102.539062	-60.738018
21145.605469	-60.701153
21188.671875	-61.947124
21231.738281	-61.923172
21274.804688	-61.256248
21317.871094	-63.924000
21360.937500	-63.132931
21404.003906	-63.147137
21447.070312	-62.813934
21490.136719	-61.317036
21533.203125	-61.920025
21576.269531	-63.099953
21619.335938	-63.350178
21662.402344	-63.911354
21705.468750	-62.580338
21748.535156	-62.599060
21791.601562	-62.931469
21834.667969	-63.899063
21877.734375	-64.923492
21920.800781	-64.191978
21963.867188	-63.864655
22006.933594	-63.174671
