Frequency (Hz)	Level (dB)
43.066406	-9.901558
86.132812	0.041460
129.199219	7.766781
172.265625	3.466883
215.332031	-13.684799
258.398438	-7.083454
301.464844	-9.021454
344.531250	-13.599263
387.597656	-3.993911
430.664062	-5.198560
473.730469	-16.285795
516.796875	-10.880675
559.863281	-10.283785
602.929688	-16.992426
645.996094	-11.199899
689.062500	-9.951798
732.128906	-17.024429
775.195312	-15.341984
818.261719	-12.776831
861.328125	-17.654715
904.394531	-16.515347
947.460938	-13.833105
990.527344	-17.634825
1033.593750	-19.111689
1076.660156	-15.624543
1119.726562	-18.300028
1162.792969	-20.263517
1205.859375	-17.432608
1248.925781	-19.204494
1291.992188	-21.514366
1335.058594	-18.841131
1378.125000	-19.550215
1421.191406	-22.306883
1464.257812	-20.430645
1507.324219	-20.746557
1550.390625	-23.309729
1593.457031	-21.921083
1636.523438	-21.739267
1679.589844	-24.013134
1722.656250	-23.235092
1765.722656	-22.584066
1808.789062	-24.242641
1851.855469	-24.479708
1894.921875	-23.908798
1937.988281	-25.739128
1981.054688	-25.922295
2024.121094	-24.951666
2067.187500	-25.699032
2110.253906	-26.541147
2153.320312	-25.970306
2196.386719	-26.680141
2239.453125	-27.772518
2282.519531	-27.482637
2325.585938	-27.690155
2368.652344	-28.673130
2411.718750	-28.309298
2454.785156	-28.205826
2497.851562	-29.244606
2540.917969	-29.599976
2583.984375	-29.623629
2627.050781	-30.430538
2670.117188	-30.724817
2713.183594	-30.186743
2756.250000	-30.748592
2799.316406	-31.489285
2842.382812	-31.463839
2885.449219	-32.116798
2928.515625	-32.690376
2971.582031	-32.288040
3014.648438	-32.540554
3057.714844	-33.465935
3100.781250	-33.529938
3143.847656	-33.716183
3186.914062	-34.523357
3229.980469	-34.045742
3273.046875	-34.158516
3316.113281	-34.965069
3359.179688	-35.129002
3402.246094	-35.235630
3445.312500	-35.658657
3488.378906	-35.635536
3531.445312	-35.397758
3574.511719	-36.150848
3617.578125	-36.681404
3660.644531	-36.839947
3703.710938	-37.809574
3746.777344	-38.048767
3789.843750	-37.487583
3832.910156	-37.453049
3875.976562	-37.777237
3919.042969	-37.511040
3962.109375	-38.062695
4005.175781	-38.857384
4048.242188	-38.700897
4091.308594	-39.155266
4134.375000	-39.266628
4177.441406	-39.445190
4220.507812	-40.238739
4263.574219	-41.079739
4306.640625	-40.741894
4349.707031	-40.891857
4392.773438	-41.029720
4435.839844	-41.222748
4478.906250	-41.196007
4521.972656	-41.129761
4565.039062	-41.199402
4608.105469	-41.540012
4651.171875	-42.160805
4694.238281	-42.601337
4737.304688	-42.130817
4780.371094	-41.080479
4823.437500	-41.174999
4866.503906	-41.490471
4909.570312	-41.971615
4952.636719	-41.606571
4995.703125	-42.178303
5038.769531	-42.947765
5081.835938	-43.030014
5124.902344	-43.068104
5167.968750	-43.221146
5211.035156	-41.174652
5254.101562	-40.038742
5297.167969	-41.152199
5340.234375	-42.227760
5383.300781	-41.992096
5426.367188	-42.196480
5469.433594	-42.749435
5512.500000	-41.637623
5555.566406	-42.802109
5598.632812	-44.442215
5641.699219	-44.325684
5684.765625	-43.902386
5727.832031	-43.566532
5770.898438	-42.042271
5813.964844	-42.394279
5857.031250	-43.582623
5900.097656	-44.277523
5943.164062	-44.750832
5986.230469	-43.967182
6029.296875	-43.379841
6072.363281	-42.598015
6115.429688	-42.971569
6158.496094	-43.908718
6201.562500	-44.657112
